Category,Common name,Scientific name,Growth form,Will you grow it?,Hardiness range,Zone 7 fit,Sun,Water,Harvest window,Harvest difficulty (1-5),Tastiness (1-5),Productivity (1-5),Edible parts / uses,Notes,Propagation,Nitrogen fixer
"Tea, spice & sweetener herbs",Spicebush,Lindera benzoin,Shrub,Yes,4-9,Wild in zone 7,Part shade,Moderate,Fall,2,4,2,Berries; leaves,"Status: wild native and cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: allspice-citrus note. Best prep: best fully ripe; fresh, dried, or preserved.",Seed; cuttings,No
"Tea, spice & sweetener herbs",Sugar maple,Acer saccharum,Tree,,3-8,Hardy,Sun - part shade,Moderate,Late winter sap,4,4,2,Sap,Status: wild native and cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: sweet maple syrup. Best prep: boil down promptly into syrup or use fresh.,Seed,No
"Tea, spice & sweetener herbs",Sweet birch,Betula lenta,Tree,,3-7,Wild in zone 7,Sun - part shade,Moderate,Late winter sap,4,4,3,Sap; twigs,Status: wild native. Tastiness: generally regarded as tasty in culinary use. Flavor: wintergreen-like. Best prep: boil down promptly into syrup or use fresh.,Seed,No
"Tea, spice & sweetener herbs",Tea plant,Camellia sinensis,Shrub,Yes,7-9,Hardy with protection,Part sun,Moderate,Spring - fall flushes,2,4,2,Young leaves,"Status: cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: green, tannic, grassy. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: best with acidic soil and shelter from hard freezes.",Cuttings,No
"Tea, spice & sweetener herbs",Wintergreen,Gaultheria procumbens,Subshrub,,3-8,Hardy,Part shade,"Moist, acidic",Fall - winter,2,3,2,Leaves; berries,"Status: wild native and cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: sweet minty wintergreen. Best prep: use leaves or berries as tea, candying, or flavoring rather than bulk food.",Division; seed,No
"Tea, spice & sweetener herbs",Yaupon holly,Ilex vomitoria,Shrub,Yes,7-10,Hardy,Full sun - part shade,Low - moderate,Year-round leaves,2,4,3,Leaves,"Status: wild native and cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: toasty and tea-like. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Notes: Native caffeinated tea plant.",Cuttings; seed,No
Legumes & protein crops,Alfalfa,Medicago sativa,Herbaceous perennial,,3-9,Hardy,Full sun,Low - moderate,Spring - fall,2,2,3,Leaves; sprouts,Status: cultivated and wild naturalized. Tastiness: mainly considered useful rather than notably tasty. Flavor: green and grassy. Best prep: best as sprouts or very young greens. Notes: Mostly a minor food or sprouting crop.,Seed,Yes
Legumes & protein crops,Ground plum,Astragalus crassicarpus,Herbaceous perennial,,3-8,Hardy,Full sun,Low,Late spring - summer,3,2,2,Pods,Status: wild native. Tastiness: mainly considered useful rather than notably tasty. Flavor: pea-like. Cautions: astragalus identification matters.,Seed,Yes
Legumes & protein crops,Illinois bundleflower,Desmanthus illinoensis,Herbaceous perennial,,5-9,Hardy,Full sun,Low - moderate,Late summer - fall,4,2,2,Seeds,Status: wild native and cultivated. Tastiness: mainly considered useful rather than notably tasty. Flavor: earthy bean flavor after cooking. Cautions: requires cooking.,Seed,Yes
Legumes & protein crops,Red clover,Trifolium pratense,Herbaceous perennial,,3-8,Hardy,Sun - part shade,Moderate,Spring - fall,1,2,3,Leaves; flowers,Status: wild naturalized and cultivated. Tastiness: mainly considered useful rather than notably tasty. Flavor: mild and beany. Best prep: flowers are best in tea or mixed into salads.,Seed,Yes
Legumes & protein crops,Siberian pea shrub,Caragana arborescens,Shrub,Yes,2-7,Hardy,Full sun,Low,Late summer,3,2,2,Seeds; young pods,Status: cultivated. Tastiness: mainly considered useful rather than notably tasty. Flavor: pea-like.,Seed,Yes
Legumes & protein crops,White clover,Trifolium repens,Herbaceous perennial,,3-9,Wild in zone 7,Sun - part shade,Moderate,Spring - fall,1,2,3,Leaves; flowers,Status: wild naturalized and cultivated. Tastiness: mainly considered useful rather than notably tasty. Flavor: mild and grassy. Best prep: use very young leaves or flowers in small amounts.,Seed,Yes
Vines & climbers,Arctic kiwi,Actinidia kolomikta,Vine,,3-8,Hardy,Full sun - part shade,Moderate,Late summer,2,4,3,Fruit,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: sweet kiwi flavor. Best prep: best fully ripe; fresh, dried, or preserved.",Cuttings,No
Vines & climbers,Caucasian spinach,Hablitzia tamnoides,Vine,,3-8,Hardy,Part shade - shade,Moderate,Spring - summer,2,3,4,Leaves; shoots,"Status: cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: mild spinach flavor. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture.",Seed; division,No
Vines & climbers,Chocolate vine,Akebia quinata,Vine,,5-8,Hardy,Sun - part shade,Moderate,Fall,2,4,3,Fruit pulp; young shoots,Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty. Flavor: mildly sweet pulp. Best prep: eat only fully ripe pulp; avoid under-ripe fruit. Cautions: can be invasive in parts of the eastern U.S.,Cuttings; layering,No
Vines & climbers,European grape,Vitis vinifera,Vine,Yes,6-9,Hardy,Full sun,Moderate,Late summer - fall,2,5,5,Fruit; leaves,"Status: cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet to winey. Best prep: best fully ripe; fresh, dried, or preserved.",Cuttings,No
Vines & climbers,Fox grape / labrusca grape,Vitis labrusca,Vine,,4-8,Hardy,Full sun,Moderate,Late summer - fall,2,5,5,Fruit; leaves,"Status: wild native and cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet with classic grapey aroma. Best prep: best fully ripe; fresh, dried, or preserved.",Cuttings,No
Vines & climbers,Greenbrier,Smilax rotundifolia,Vine,,5-9,Wild in zone 7,Sun - part shade,Moderate,Spring shoots; fall tubers,3,4,3,Young shoots; tubers,"Status: wild native. Tastiness: generally regarded as tasty. Flavor: asparagus-like shoots. Best prep: usually best cooked, roasted, or simmered until tender. Cautions: thorny vine.",Seed; rhizomes,No
Vines & climbers,Hardy kiwi,Actinidia arguta,Vine,Yes,4-8,Hardy,Full sun,Moderate,Late summer - fall,2,4,4,Fruit,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: sweet, aromatic kiwi flavor. Best prep: best fully ripe; fresh, dried, or preserved. Notes: Needs male and female plants unless self-fertile cultivar is used.",Cuttings,No
Vines & climbers,Kudzu,Pueraria montana var. lobata,Vine,,5-9,Wild in zone 7,Full sun,Low - moderate,Summer roots and shoots,4,2,4,Roots; young shoots; flowers,Status: wild naturalized. Tastiness: mainly considered useful rather than notably tasty. Flavor: starchy roots; grape-like jelly from flowers. Best prep: roots are best processed into starch; flowers are better for jelly or syrup. Cautions: highly invasive and difficult to control.,Root cuttings; crowns,Yes
Vines & climbers,Maypop / passionflower,Passiflora incarnata,Vine,Yes,6-10,Hardy,Full sun,Moderate,Late summer - fall,2,5,4,Fruit; flowers,Status: wild native and cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet-tart tropical flavor. Best prep: let fruit ripen fully and wrinkle slightly for best flavor.,Seed; suckers,No
Vines & climbers,Muscadine grape,Vitis rotundifolia,Vine,,7-10,Hardy,Full sun,Moderate,Late summer - fall,2,5,5,Fruit,"Status: wild native and cultivated. Tastiness: widely regarded as highly tasty. Flavor: musky, sweet. Best prep: best fully ripe; fresh, dried, or preserved.",Cuttings; layering,No
Vines & climbers,Schisandra,Schisandra chinensis,Vine,,4-7,Hardy,Part shade,Moderate,Late summer - fall,2,3,3,Fruit,"Status: cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: tart, resinous, complex. Best prep: dry, sweeten, or turn into tea/syrup. Notes: Often used more as tea or tonic fruit than fresh eating.",Cuttings; layering,No
Tree fruits,American persimmon,Diospyros virginiana,Tree,Yes,4-9,Hardy,Full sun,Low - moderate,Fall,1,5,4,Fruit,Status: wild native and cultivated. Tastiness: widely regarded as highly tasty. Flavor: honey-sweet when fully ripe. Best prep: wait until fully soft; underripe fruit is strongly astringent. Cautions: astringent until fully soft.,Seed; grafting,No
Tree fruits,American plum,Prunus americana,Tree,,3-8,Wild in zone 7,Full sun,Moderate,Late summer,1,4,4,Fruit,"Status: wild native and cultivated. Tastiness: generally regarded as tasty. Flavor: sweet-tart. Best prep: best fully ripe; fresh, dried, or preserved. Notes: Thicket-forming native plum.",Seed; suckers,No
Tree fruits,Apple,Malus domestica,Tree,Yes,4-8,Hardy,Full sun,Moderate,Late summer - fall,1,5,5,Fruit,"Status: cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet to tart depending on cultivar. Best prep: best fully ripe; fresh, dried, or preserved.",Grafting,No
Tree fruits,Apricot,Prunus armeniaca,Tree,,5-8,Hardy,Full sun,Low - moderate,Summer,1,5,4,Fruit,"Status: cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet, rich. Best prep: best fully ripe; fresh, dried, or preserved. Cautions: late frosts often affect bloom.",Grafting,No
Tree fruits,Asian pear,Pyrus pyrifolia,Tree,Yes,5-9,Hardy,Full sun,Moderate,Late summer - fall,1,5,5,Fruit,"Status: cultivated. Tastiness: widely regarded as highly tasty. Flavor: crisp, sweet. Best prep: best fully ripe; fresh, dried, or preserved.",Grafting,No
Tree fruits,Asian persimmon,Diospyros kaki,Tree,Yes,7-10,Hardy with protection,Full sun,Moderate,Fall,1,5,4,Fruit,Status: cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet and rich. Best prep: eat when the cultivar is at proper ripeness for its astringency type. Cautions: choose hardy cultivars in colder parts of zone 7.,Grafting,No
Tree fruits,Che / Chinese mulberry,Cudrania tricuspidata,Tree,Yes,6-9,Hardy,Full sun,Low - moderate,Late summer - fall,1,4,5,Fruit,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: sweet and mild. Best prep: best fully ripe; fresh, dried, or preserved.",Cuttings; grafting,No
Tree fruits,Chickasaw plum,Prunus angustifolia,Shrub,Yes,5-9,Wild in zone 7,Full sun,Low - moderate,Summer,1,4,4,Fruit,"Status: wild native. Tastiness: generally regarded as tasty. Flavor: sweet-tart. Best prep: best fully ripe; fresh, dried, or preserved.",Suckers; seed,No
Tree fruits,Cornelian cherry dogwood,Cornus mas,Tree,,4-8,Hardy,Full sun - part shade,Moderate,Late summer,1,4,4,Fruit,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: tart cherry-like flavor. Best prep: best fully ripe; fresh, dried, or preserved.",Cuttings; grafting,No
Tree fruits,"Crabapple, edible types",Malus coronaria,Tree,,4-8,Wild in zone 7,Full sun,Moderate,Fall,2,4,4,Fruit,"Status: wild native and cultivated. Tastiness: generally regarded as tasty. Flavor: sharp to tart-sweet. Best prep: cook, sweeten, or preserve. Cautions: many crabapples are mainly culinary rather than fresh eating.",Seed; grafting,No
Tree fruits,European plum,Prunus domestica,Tree,,4-8,Hardy,Full sun,Moderate,Late summer - fall,1,5,4,Fruit,"Status: cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet and rich. Best prep: best fully ripe; fresh, dried, or preserved.",Grafting,No
Tree fruits,Fig,Ficus carica,Shrub,Yes,6-10,Hardy with protection,Full sun,Low - moderate,Late summer - fall,1,5,5,Fruit,Status: cultivated. Tastiness: widely regarded as highly tasty. Flavor: honey-sweet. Best prep: let fruit soften fully on the plant. Cautions: best against warm walls or with winter protection in colder sites.,Cuttings,No
Tree fruits,Hackberry,Celtis occidentalis,Tree,,3-9,Wild in zone 7,Full sun,Low - moderate,Fall - winter,2,4,4,Fruit,"Status: wild native. Tastiness: generally regarded as tasty. Flavor: sweet, date-like skin over crunchy seed. Best prep: eat fully ripe fruit fresh or dry and grind it.",Seed,No
Tree fruits,Hawthorn,Crataegus spp.,Tree,Yes,4-8,Hardy,Full sun,Low - moderate,Fall,3,4,4,Fruit,"Status: wild native and cultivated. Tastiness: generally regarded as tasty. Flavor: mealy apple-like fruit. Best prep: use soft ripe fruit in ketchup, fruit leather, or jelly. Cautions: thorny; species and fruit quality vary widely.",Seed; grafting,No
Tree fruits,Japanese plum,Prunus salicina,Tree,,5-9,Hardy,Full sun,Moderate,Summer,1,5,4,Fruit,"Status: cultivated. Tastiness: widely regarded as highly tasty. Flavor: juicy, sweet-tart. Best prep: best fully ripe; fresh, dried, or preserved.",Grafting,No
Tree fruits,Jujube,Ziziphus jujuba,Tree,,5-9,Hardy,Full sun,Low,Late summer - fall,1,5,5,Fruit,"Status: cultivated. Tastiness: widely regarded as highly tasty. Flavor: apple-like fresh; date-like dried. Best prep: best fully ripe; fresh, dried, or preserved.",Grafting,No
Tree fruits,Medlar,Mespilus germanica,Tree,,5-8,Hardy,Full sun,Moderate,Late fall,2,4,4,Fruit,Status: cultivated. Tastiness: generally regarded as tasty. Flavor: apple-date flavor after bletting. Best prep: blet until soft before eating. Cautions: best eaten bletted.,Grafting,No
Tree fruits,Mulberry,Morus spp.,Tree,,4-9,Hardy,Full sun,Low - moderate,Late spring - summer,2,5,5,Fruit,"Status: wild native and cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet, juicy, winey. Best prep: best fully ripe; fresh, dried, or preserved. Cautions: birds can strip crops quickly.",Cuttings; grafting,No
Tree fruits,Pawpaw,Asimina triloba,Tree,Yes,5-9,Hardy,Sun - part shade,Moderate,Late summer - fall,2,5,4,Fruit,"Status: wild native and cultivated. Tastiness: widely regarded as highly tasty. Flavor: custardy, banana-mango flavor. Best prep: best fully ripe; fresh, dried, or preserved. Notes: Needs cross-pollination.",Seed; grafting,No
Tree fruits,Peach / nectarine,Prunus persica,Tree,,5-8,Hardy,Full sun,Moderate,Summer,1,5,5,Fruit,"Status: cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet and aromatic. Best prep: best fully ripe; fresh, dried, or preserved.",Grafting,No
Tree fruits,Pear,Pyrus communis,Tree,,4-8,Hardy,Full sun,Moderate,Late summer - fall,1,5,5,Fruit,"Status: cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet and juicy. Best prep: best fully ripe; fresh, dried, or preserved.",Grafting,No
Tree fruits,Pomegranate,Punica granatum,Shrub,,7-10,Hardy with protection,Full sun,Low - moderate,Fall,1,5,4,Fruit,Status: cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet-tart. Best prep: best fully ripe and eaten fresh or juiced. Cautions: hardiness depends heavily on cultivar and site.,Cuttings,No
Tree fruits,Quince,Cydonia oblonga,Tree,,5-9,Hardy,Full sun,Moderate,Fall,1,4,4,Fruit,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: fragrant, tart. Best prep: cook into preserves, paste, or baked dishes. Cautions: usually cooked before eating.",Cuttings; grafting,No
Tree fruits,Sour cherry,Prunus cerasus,Tree,Yes,4-8,Hardy,Full sun,Moderate,Early summer,1,4,4,Fruit,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: bright tart cherry flavor. Best prep: best fully ripe; fresh, dried, or preserved.",Grafting,No
Tree fruits,Sweet cherry,Prunus avium,Tree,Yes,5-8,Hardy,Full sun,Moderate,Early summer,1,5,4,Fruit,"Status: cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet and juicy. Best prep: best fully ripe; fresh, dried, or preserved.",Grafting,No
Tree fruits,Trifoliate orange,Citrus trifoliata,Shrub,,5-9,Hardy,Full sun,Moderate,Fall,3,4,4,Fruit,"Status: cultivated and naturalized. Tastiness: generally regarded as tasty. Flavor: strongly sour and aromatic. Best prep: best for marmalade, flavoring, or mixed preserves. Cautions: very seedy and often used more for marmalade or breeding than fresh eating.",Seed; grafting,No
"Shrub, cane & bramble fruits",American beautyberry,Callicarpa americana,Shrub,,6-10,Hardy,Sun - part shade,Moderate,Fall,1,3,4,Fruit,Status: wild native and cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: mild and best in jelly. Best prep: use in jelly or syrup.,Cuttings,No
"Shrub, cane & bramble fruits",American cranberrybush,Viburnum trilobum,Shrub,,2-7,Hardy,Sun - part shade,Moderate,Fall - winter,1,3,4,Fruit,Status: wild native and cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: tart and musky. Best prep: cook or sweeten. Cautions: often better cooked than fresh.,Cuttings,No
"Shrub, cane & bramble fruits",American elderberry,Sambucus canadensis,Shrub,Yes,4-9,Wild in zone 7,Sun - part shade,Moderate - moist,Late summer,2,4,3,Fruit; flowers,"Status: wild native and cultivated. Tastiness: generally regarded as tasty. Flavor: dark, winey berries. Best prep: best fully ripe; fresh, dried, or preserved. Cautions: berries are best cooked; stems and unripe parts are not edible.",Cuttings; suckers,No
"Shrub, cane & bramble fruits",Autumn olive,Elaeagnus umbellata,Shrub,,4-8,Wild in zone 7,Full sun,Low - moderate,Fall,3,4,4,Fruit,Status: wild naturalized. Tastiness: generally regarded as tasty. Flavor: sweet-tart. Best prep: best fully ripe; makes excellent sauces and fruit leather. Cautions: highly invasive in many eastern states.,Seed; cuttings,Yes
"Shrub, cane & bramble fruits",Black chokeberry,Aronia melanocarpa,Shrub,Yes,3-8,Hardy,Sun - part shade,Moderate,Late summer - fall,1,4,2,Fruit,"Status: wild native and cultivated. Tastiness: generally regarded as tasty. Flavor: dry, tannic, tart-sweet. Best prep: freeze, sweeten, dry, or cook.",Cuttings; division,No
"Shrub, cane & bramble fruits",Black currant,Ribes nigrum,Shrub,,3-8,Hardy,Sun - part shade,Moderate,Summer,1,4,4,Fruit,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: deep, musky, tart. Best prep: fresh when fully ripe or processed into jam/syrup.",Cuttings,No
"Shrub, cane & bramble fruits",Black huckleberry,Gaylussacia baccata,Shrub,,3-8,Wild in zone 7,Part shade - sun,"Moist, acidic",Summer,1,4,4,Fruit,"Status: wild native. Tastiness: generally regarded as tasty. Flavor: sweet with crunchy seeds. Best prep: best fully ripe; fresh, dried, or preserved.",Layering; division,No
"Shrub, cane & bramble fruits",Black raspberry,Rubus occidentalis,Cane,,3-8,Wild in zone 7,Full sun,Moderate,Summer,1,5,4,Fruit,"Status: wild native and cultivated. Tastiness: widely regarded as highly tasty. Flavor: rich and winey. Best prep: best fully ripe; fresh, dried, or preserved.",Tip layering,No
"Shrub, cane & bramble fruits",Blackberry,Rubus allegheniensis,Cane,,3-8,Wild in zone 7,Full sun,Moderate,Summer,1,5,5,Fruit,"Status: wild native and cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet-tart. Best prep: best fully ripe; fresh, dried, or preserved. Cautions: thorny on wild forms.",Tip layering; suckers,No
"Shrub, cane & bramble fruits",Clove currant,Ribes odoratum,Shrub,,4-8,Hardy,Sun - part shade,Moderate,Summer,1,4,4,Fruit,"Status: wild native and cultivated. Tastiness: generally regarded as tasty. Flavor: sweet with clove scent. Best prep: best fully ripe; fresh, dried, or preserved.",Cuttings,No
"Shrub, cane & bramble fruits",Cranberry,Vaccinium macrocarpon,Trailing shrub,,2-7,Hardy,Full sun,"Moist, acidic",Fall,3,4,4,Fruit,"Status: wild native and cultivated. Tastiness: generally regarded as tasty. Flavor: sharp tartness. Best prep: best fully ripe; fresh, dried, or preserved.",Cuttings,No
"Shrub, cane & bramble fruits",Flowering quince,Chaenomeles speciosa,Shrub,,4-8,Hardy,Full sun,Moderate,Fall,3,4,4,Fruit,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: very tart and aromatic. Best prep: use for jelly, paste, or stewed fruit. Cautions: usually cooked.",Cuttings,No
"Shrub, cane & bramble fruits",Goji berry,Lycium barbarum,Shrub,,5-9,Hardy,Full sun,Low - moderate,Summer - fall,1,4,5,Fruit,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: sweet-tart. Best prep: best fully ripe; fresh, dried, or preserved. Cautions: can sucker and sprawl.",Cuttings; seed,No
"Shrub, cane & bramble fruits",Gooseberry,Ribes uva-crispa,Shrub,Yes,3-8,Hardy,Sun - part shade,Moderate,Summer,1,4,4,Fruit,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: tart to sweet depending on ripeness. Best prep: best fully ripe; fresh, dried, or preserved. Cautions: thorny canes.",Cuttings,No
"Shrub, cane & bramble fruits",Goumi,Elaeagnus multiflora,Shrub,Yes,4-8,Hardy,Full sun,Low - moderate,Late spring - early summer,1,4,4,Fruit,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: bright, tart-sweet. Best prep: best fully ripe; fresh, dried, or preserved.",Cuttings,Yes
"Shrub, cane & bramble fruits",Haskap / honeyberry,Lonicera caerulea,Shrub,,2-8,Hardy,Full sun,Moderate,Late spring,1,4,4,Fruit,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: blueberry-meets-raspberry. Best prep: best fully ripe; fresh, dried, or preserved.",Cuttings,No
"Shrub, cane & bramble fruits",Highbush blueberry,Vaccinium corymbosum,Shrub,,3-8,Hardy,Full sun,"Moist, acidic",Summer,1,5,5,Fruit,"Status: wild native and cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet-tart. Best prep: best fully ripe; fresh, dried, or preserved.",Cuttings,No
"Shrub, cane & bramble fruits",Nannyberry,Viburnum lentago,Shrub,,2-8,Wild in zone 7,Sun - part shade,Moderate,Fall,1,4,4,Fruit,"Status: wild native. Tastiness: generally regarded as tasty. Flavor: sweet, raisin-like when ripe. Best prep: best fully ripe; fresh, dried, or preserved.",Seed; suckers,No
"Shrub, cane & bramble fruits",Rabbiteye blueberry,Vaccinium virgatum,Shrub,,6-9,Hardy,Full sun,"Moist, acidic",Summer,1,5,5,Fruit,"Status: wild native and cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet. Best prep: best fully ripe; fresh, dried, or preserved.",Cuttings,No
"Shrub, cane & bramble fruits",Red currant,Ribes rubrum,Shrub,,3-8,Hardy,Sun - part shade,Moderate,Summer,1,4,4,Fruit,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: bright tartness. Best prep: best fully ripe; fresh, dried, or preserved.",Cuttings,No
"Shrub, cane & bramble fruits",Red raspberry,Rubus idaeus,Cane,Yes,3-8,Hardy,Full sun,Moderate,Summer - fall,1,5,5,Fruit,"Status: cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet-tart. Best prep: best fully ripe; fresh, dried, or preserved. Cautions: spreads by suckers.",Division; tip layering,No
"Shrub, cane & bramble fruits",Rose hips,Rosa spp.,Shrub,,3-9,Hardy,Full sun,Moderate,Fall - winter,3,4,2,Hips; petals,"Status: wild native and cultivated. Tastiness: generally regarded as tasty. Flavor: tart and fruity. Best prep: remove inner hairs and use hips for tea, jam, or puree. Cautions: remove irritating inner hairs when using hips.",Cuttings; suckers,No
"Shrub, cane & bramble fruits",Sea buckthorn,Hippophae rhamnoides,Shrub,,3-8,Hardy,Full sun,Low,Late summer - fall,4,3,3,Fruit,"Status: cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: sharp, citrusy. Best prep: juice, syrup, or cook with sweeteners. Cautions: thorny and usually needs male and female plants.",Cuttings; suckers,Yes
"Shrub, cane & bramble fruits",Serviceberry / juneberry,Amelanchier spp.,Shrub,Yes,3-9,Hardy,Sun - part shade,Moderate,Early summer,1,5,4,Fruit,"Status: wild native and cultivated. Tastiness: widely regarded as highly tasty. Flavor: blueberry-almond flavor. Best prep: best fully ripe; fresh, dried, or preserved.",Seed; grafting,No
Nuts & oil crops,American beech,Fagus grandifolia,Tree,,3-9,Wild in zone 7,Sun - part shade,Moderate,Fall,4,4,2,Nuts,"Status: wild native. Tastiness: generally regarded as tasty. Flavor: small but sweet and rich. Best prep: dry or cure first, then crack, roast, grind, or press as needed.",Seed,No
Nuts & oil crops,Black walnut,Juglans nigra,Tree,,4-9,Wild in zone 7,Full sun,Moderate,Fall,4,4,2,Nuts,"Status: wild native and cultivated. Tastiness: generally regarded as tasty. Flavor: bold, rich, resinous. Best prep: cure nuts well, then crack and use roasted or in baking. Cautions: strong juglone effects on nearby plants.",Seed; grafting,No
Nuts & oil crops,Butternut,Juglans cinerea,Tree,,3-7,Hardy,Full sun,Moderate,Fall,4,5,2,Nuts,Status: wild native. Tastiness: widely regarded as highly tasty. Flavor: rich and buttery. Best prep: cure and crack after drying. Cautions: butternut canker limits many plantings.,Seed,No
Nuts & oil crops,Chestnut,Castanea spp.,Tree,,4-8,Hardy,Full sun,Moderate,Fall,4,5,4,Nuts,"Status: wild native and cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet and starchy. Best prep: dry or cure first, then crack, roast, grind, or press as needed. Notes: Includes Chinese, American, and hybrid chestnuts.",Grafting; seed,No
Nuts & oil crops,English walnut,Juglans regia,Tree,,5-9,Hardy,Full sun,Moderate,Fall,4,5,2,Nuts,"Status: cultivated. Tastiness: widely regarded as highly tasty. Flavor: mild, rich. Best prep: dry or cure first, then crack, roast, grind, or press as needed.",Grafting,No
Nuts & oil crops,Ginkgo,Ginkgo biloba,Tree,,3-9,Hardy,Full sun,Low - moderate,Fall,3,4,2,Seeds,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: rich, chestnut-like when cooked. Best prep: eat only cooked seeds in moderation. Cautions: raw seeds are not eaten; female fruit pulp is messy.",Grafting; seed,No
Nuts & oil crops,Hazelnut / filbert,Corylus spp.,Shrub,,4-8,Hardy,Full sun,Moderate,Late summer - fall,4,5,4,Nuts,"Status: wild native and cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet, rich, nutty. Best prep: dry or cure first, then crack, roast, grind, or press as needed. Notes: Includes American, European, and hybrid hazels.",Layering; grafting,No
Nuts & oil crops,Hickory,Carya spp.,Tree,,4-8,Hardy,Full sun,Moderate,Fall,4,4,2,Nuts,"Status: wild native and cultivated. Tastiness: generally regarded as tasty. Flavor: sweet, rich, pecan-like. Best prep: dry or cure first, then crack, roast, grind, or press as needed. Notes: Includes shagbark and shellbark types.",Seed; grafting,No
Nuts & oil crops,Korean pine,Pinus koraiensis,Tree,,3-8,Hardy,Full sun,Moderate,Fall,4,4,2,Nuts,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: mild pine-nut flavor. Best prep: dry or cure first, then crack, roast, grind, or press as needed.",Seed,No
Nuts & oil crops,Pecan,Carya illinoinensis,Tree,,5-9,Hardy,Full sun,Moderate,Fall,4,5,2,Nuts,"Status: wild native and cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet, rich. Best prep: dry or cure first, then crack, roast, grind, or press as needed. Cautions: northern-hardy cultivars are best in cooler zone 7 sites.",Grafting,No
Nuts & oil crops,Pinyon pine,Pinus edulis,Tree,,5-8,Hardy,Full sun,Low,Fall,4,4,2,Nuts,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: classic pine-nut flavor. Best prep: dry or cure first, then crack, roast, grind, or press as needed. Cautions: best in drier sites.",Seed,No
Nuts & oil crops,Sweet-acorn oaks,Quercus spp.,Tree,,3-9,Hardy,Full sun,Low - moderate,Fall,5,2,2,Acorns,"Status: wild native and cultivated. Tastiness: mainly considered useful rather than notably tasty. Flavor: nutty and starchy after leaching. Best prep: leach tannins first, then roast, grind, or cook. Cautions: tannins require leaching; focus on lower-tannin white-oak-group species.",Seed,No
Nuts & oil crops,Tea-oil camellia,Camellia oleifera,Shrub,,7-10,Hardy with protection,Part sun,Moderate,Fall,4,4,2,Seeds for oil,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: oil is mild and buttery. Best prep: dry or cure first, then crack, roast, grind, or press as needed. Cautions: best in protected acidic sites.",Cuttings,No
Aquatic & wetland edibles,American lotus,Nelumbo lutea,Aquatic,,4-10,Wild in zone 7,Full sun,Aquatic,Late summer - fall,4,4,3,Rhizomes; seeds,"Status: wild native and cultivated. Tastiness: generally regarded as tasty. Flavor: starchy rhizome; nutty seeds. Best prep: usually best cooked, roasted, or simmered until tender.",Rhizome division,No
